time,               No.,g, B0,   b0,     x,   y,   d,  d*sin(B0),w0,  w1,    w2,   W
2020-03-05-10-39-22,8,-258,5.54,317,141.1,-129.9,0,174.97,-228,75,-116,-269
2020-03-05-11-01-54,0,5966,5.48,314,172,-179.9,0,-4312.78,4601,0,192,4794
2020-03-05-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-05-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-05-11-02-10,3,13663,5.43,311,184.3,-211,1,-10289.98,9800,431,-478,9754
2020-03-06-10-38-57,4,1117,5.27,302,152.7,-243.7,0,-947.19,691,139,-54,777
2020-03-06-10-39-01,5,652,5.11,293,52.3,-125.3,0,-602.38,503,427,30,961
2020-03-06-10-39-09,6,-439,2.67,153,-2719,1402.9,0,-201.74,275,-260,-43,-28
2020-03-06-10-39-12,7,636,5.48,314,314.8,-325,0,-457.03,416,124,-259,281
2020-03-06-10-39-22,8,-258,5.54,317,141.1,-129.9,0,174.97,-228,75,-116,-269
2020-03-06-11-01-54,0,5966,5.48,314,172,-179.9,0,-4312.78,4601,0,192,4794
2020-03-06-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-06-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-06-11-02-10,3,13663,5.43,311,184.3,-211,1,-10289.98,9800,431,-478,9754
2020-03-07-11-01-58,1,-13736,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,-13963,-7636
2020-03-07-11-02-06,2,-14756,2.98,171,-194.3,31.1,0,-2331.78,5617,116,-20730,-14996
2020-03-16-11-01-58,0,0,2.83,162,-342.8,109.1,1,-4165.45,6991,-664,910,910
2020-03-16-11-02-06,7,7,2.98,171,-194.3,31.1,0,-2331.78,5617,116,910,870
